日期,时间,气温℃
2022-1-1,0:00:00,8.891931152
2022-1-1,1:00:00,8.979211426
2022-1-1,2:00:00,8.86751709
2022-1-1,3:00:00,8.357293701
2022-1-1,4:00:00,8.3394104
2022-1-1,5:00:00,7.607446289
2022-1-1,6:00:00,7.571099854
2022-1-1,7:00:00,7.519586182
2022-1-1,8:00:00,7.338494873
2022-1-1,9:00:00,8.753656006
2022-1-1,10:00:00,8.599664307
2022-1-1,11:00:00,8.580712891
2022-1-1,12:00:00,10.57982788
2022-1-1,13:00:00,10.62047729
2022-1-1,14:00:00,10.68987427
2022-1-1,15:00:00,10.82705078
2022-1-1,16:00:00,11.21257935
2022-1-1,17:00:00,9.610345459
2022-1-1,18:00:00,8.909814453
2022-1-1,19:00:00,8.237481689
2022-1-1,20:00:00,8.14800415
2022-1-1,21:00:00,8.043908691
2022-1-1,22:00:00,6.817987061
2022-1-1,23:00:00,6.952996826
2022-1-2,0:00:00,7.082025146
2022-1-2,1:00:00,6.87923584
2022-1-2,2:00:00,6.625482178
2022-1-2,3:00:00,6.350061035
2022-1-2,4:00:00,6.675927734
2022-1-2,5:00:00,9.062188721
2022-1-2,6:00:00,9.306176758
2022-1-2,7:00:00,9.300744629
2022-1-2,8:00:00,8.983026123
2022-1-2,9:00:00,10.71700439
2022-1-2,10:00:00,10.3868042
2022-1-2,11:00:00,10.23388062
2022-1-2,12:00:00,12.60875854
2022-1-2,13:00:00,12.91402588
2022-1-2,14:00:00,13.2100769
2022-1-2,15:00:00,13.42208252
2022-1-2,16:00:00,13.51696167
2022-1-2,17:00:00,12.31435547
2022-1-2,18:00:00,12.63967285
2022-1-2,19:00:00,12.36583862
2022-1-2,20:00:00,12.11806641
2022-1-2,21:00:00,11.37145386
2022-1-2,22:00:00,10.60802612
2022-1-2,23:00:00,10.80916748
2022-1-3,0:00:00,10.70940552
2022-1-3,1:00:00,10.63619385
2022-1-3,2:00:00,10.55651245
2022-1-3,3:00:00,10.4757019
2022-1-3,4:00:00,10.5413147
2022-1-3,5:00:00,10.64217529
2022-1-3,6:00:00,10.70778809
2022-1-3,7:00:00,10.75170288
2022-1-3,8:00:00,10.11895142
2022-1-3,9:00:00,11.80736694
2022-1-3,10:00:00,11.76995239
2022-1-3,11:00:00,11.7038208
2022-1-3,12:00:00,14.8215271
2022-1-3,13:00:00,15.15606079
2022-1-3,14:00:00,15.80941162
2022-1-3,15:00:00,16.55385742
2022-1-3,16:00:00,16.34728394
2022-1-3,17:00:00,13.01433716
2022-1-3,18:00:00,13.06096802
2022-1-3,19:00:00,13.40688477
2022-1-3,20:00:00,13.38305054
2022-1-3,21:00:00,13.15041504
2022-1-3,22:00:00,12.69552002
2022-1-3,23:00:00,12.72805176
